id_venta,producto,precio,cantidad,fecha_venta,categoria,precio_num,ingreso,anio_mes,id_campanha,canal,costo,fecha_inicio,fecha_fin,campania_activa
950,Adorno de pared,$116.42,6.0,2024-03-20,Decoración,116.42,698.52,2024-03,74,TV,4.81,2024-03-20,2024-05-03,True
780,Adorno de pared,$79.13,7.0,2024-03-21,Decoración,79.13,553.91,2024-03,74,TV,4.81,2024-03-20,2024-05-03,True
270,Adorno de pared,$96.59,6.0,2024-03-22,Decoración,96.59,579.54,2024-03,74,TV,4.81,2024-03-20,2024-05-03,True
210,Adorno de pared,$71.67,4.0,2024-03-24,Decoración,71.67,286.68,2024-03,74,TV,4.81,2024-03-20,2024-05-03,True
730,Adorno de pared,$103.90,8.0,2024-03-28,Decoración,103.9,831.2,2024-03,74,TV,4.81,2024-03-20,2024-05-03,True
749,Lámpara de mesa,$44.88,1.0,2024-03-30,Decoración,44.88,44.88,2024-03,32,Email,5.54,2024-03-28,2024-04-20,True
2044,Tablet,$35.84,11.0,2024-03-30,Electrónica,35.84,394.24,2024-03,12,RRSS,3.4,2024-03-26,2024-05-13,True
2683,Smartphone,$111.41,7.0,2024-03-30,Electrónica,111.41,779.87,2024-03,21,RRSS,6.37,2024-03-29,2024-05-16,True
2984,Tablet,$75.89,11.0,2024-03-30,Electrónica,75.89,834.79,2024-03,12,RRSS,3.4,2024-03-26,2024-05-13,True
221,Lámpara de mesa,$41.81,9.0,2024-03-31,Decoración,41.81,376.29,2024-03,32,Email,5.54,2024-03-28,2024-04-20,True
251,Lámpara de mesa,$33.37,3.0,2024-03-31,Decoración,33.37,100.10999999999999,2024-03,32,Email,5.54,2024-03-28,2024-04-20,True
390,Adorno de pared,$87.52,8.0,2024-04-01,Decoración,87.52,700.16,2024-04,74,TV,4.81,2024-03-20,2024-05-03,True
2383,Smartphone,$103.69,1.0,2024-04-01,Electrónica,103.69,103.69,2024-04,21,RRSS,6.37,2024-03-29,2024-05-16,True
45,Alfombra,$72.91,1.0,2024-04-02,Decoración,72.91,72.91,2024-04,58,Email,4.25,2024-03-31,2024-05-05,True
351,Lámpara de mesa,$98.22,4.0,2024-04-03,Decoración,98.22,392.88,2024-04,32,Email,5.54,2024-03-28,2024-04-20,True
479,Lámpara de mesa,$35.26,9.0,2024-04-03,Decoración,35.26,317.34,2024-04,32,Email,5.54,2024-03-28,2024-04-20,True
570,Adorno de pared,$64.18,7.0,2024-04-03,Decoración,64.18,449.26000000000005,2024-04,74,TV,4.81,2024-03-20,2024-05-03,True
679,Lámpara de mesa,$39.86,6.0,2024-04-03,Decoración,39.86,239.16,2024-04,32,Email,5.54,2024-03-28,2024-04-20,True
1480,Plancha de vapor,$99.08,11.0,2024-04-03,Electrodomésticos,99.08,1089.8799999999999,2024-04,36,Email,5.41,2024-04-02,2024-06-01,True
2028,SmartWatch,$38.84,7.0,2024-04-03,Electrónica,38.84,271.88,2024-04,85,TV,5.07,2024-04-01,2024-05-05,True
340,Adorno de pared,$49.30,2.0,2024-04-04,Decoración,49.3,98.6,2024-04,74,TV,4.81,2024-03-20,2024-05-03,True
400,Adorno de pared,$33.10,1.0,2024-04-04,Decoración,33.1,33.1,2024-04,74,TV,4.81,2024-03-20,2024-05-03,True
841,Lámpara de mesa,$86.82,10.0,2024-04-04,Decoración,86.82,868.1999999999999,2024-04,32,Email,5.54,2024-03-28,2024-04-20,True
2124,Tablet,$74.39,7.0,2024-04-04,Electrónica,74.39,520.73,2024-04,12,RRSS,3.4,2024-03-26,2024-05-13,True
421,Lámpara de mesa,$114.83,9.0,2024-04-05,Decoración,114.83,1033.47,2024-04,32,Email,5.54,2024-03-28,2024-04-20,True
2778,SmartWatch,$70.66,7.0,2024-04-05,Electrónica,70.66,494.62,2024-04,85,TV,5.07,2024-04-01,2024-05-05,True
145,Alfombra,$41.72,8.0,2024-04-06,Decoración,41.72,333.76,2024-04,58,Email,4.25,2024-03-31,2024-05-05,True
300,Adorno de pared,$67.75,9.0,2024-04-06,Decoración,67.75,609.75,2024-04,74,TV,4.81,2024-03-20,2024-05-03,True
439,Lámpara de mesa,$35.43,2.0,2024-04-06,Decoración,35.43,70.86,2024-04,32,Email,5.54,2024-03-28,2024-04-20,True
959,Lámpara de mesa,$76.32,7.0,2024-04-06,Decoración,76.32,534.24,2024-04,32,Email,5.54,2024-03-28,2024-04-20,True
2108,SmartWatch,$79.37,10.0,2024-04-06,Electrónica,79.37,793.7,2024-04,85,TV,5.07,2024-04-01,2024-05-05,True
345,Alfombra,$56.78,9.0,2024-04-07,Decoración,56.78,511.02,2024-04,58,Email,4.25,2024-03-31,2024-05-05,True
509,Lámpara de mesa,$72.50,1.0,2024-04-07,Decoración,72.5,72.5,2024-04,32,Email,5.54,2024-03-28,2024-04-20,True
